Company,Country,Education,Employment Type,Experience,Id,Locality,Location,Postalcode,Posted At,Region,Salary,Skills,Title,Latitude,Longitude,Abbr,,,,,,
Addus,US,,FULL_TIME,,2c3614df-42d0-56ec-bf7b-66501d2991d2,Coram,POINT(-72.99920000 40.88182000),11727,2021-05-01T13:10:50Z,NY,,,Home Health Aide (HHA),40.88182,-72.9992,,,,,,,
Brinks,US,,FULL_TIME,,97ba10fd-799e-5fea-983b-abe6b8c8d3a7,Queens,POINT(-73.84926000 40.68538000),11416,2021-04-18T02:19:25Z,NY,,"Deposit Accounts, Data Entry",Vault Personnel,40.68538,-73.84926,,,,,,,
Dollar Tree Stores,US,,FULL_TIME,,070b10ae-4214-5388-846d-e59521f1d323,Brooklyn,POINT(-73.94416000 40.67818000),,2021-04-05T02:52:40Z,NY,,"Customer Service, Merchandising, Sales, Unloading, Trustworthy, Verbal Communication, Information Security",SALES FLOOR ASSOCIATE,40.67818,-73.94416,,,,,,,
Best Version Media,US,,FULL_TIME,,81b8a7ff-2d9b-54ff-bacf-883633073b0e,Delmar,POINT(-73.83263000 42.62202000),,2021-04-20T10:33Z,NY,,"Advertising, Scheduling, Marketing, Sales, Selling Techniques, Self Motivation, Coaching And Mentoring, Communication, Trustworthy, Business To Business",Sales Representative - In Person/Must Live near Territory,42.62202,-73.83263,,,,,,,
Sears,US,,FULL_TIME,,a723c7df-e4c4-5d34-bfed-b6a11be67a65,Melville,POINT(-73.42981000 40.78368000),11747,2021-04-19T12:43Z,NY,,"Consumer Engagement, Spanish Language, English Language, Positive Attitude, Selling Techniques, Scheduling, Learning","Home Improvement Consultant 312 (Riverhead, NY)",40.78368,-73.42981,,,,,,,
Berkshire Hathaway HomeServices Blake Realtors,US,,FULL_TIME,,16aeb124-96a9-58de-b727-7e59b99dbeac,Castleton-on-Hudson,POINT(-73.74630000 42.53320000),12033,2021-05-01T15:02:44Z,NY,,"Recruitment, Training, Real Estates, Real Property, Mentorship, Learning",Real Estate Agent (Considering Real Estate for the First Time),42.5332,-73.7463,,,,,,,
The TJX Companies Inc,US,,FULL_TIME,,c6c9e25a-bf10-586f-9738-5187a3f12d75,Westbury,POINT(-73.58762000 40.75566000),,2021-04-30T09:55:51Z,NY,,"Merchandising, Loss Prevention, Sales, Retailing, Scheduling, Customer Service, Attention To Detail, Coordinating, Customer Experience, Trustworthy, Communication",Homegoods-Merchandise Associate,40.75566,-73.58762,,,,,,,
Brinks,US,,FULL_TIME,,0b4899a0-27a1-5132-b2b8-8c8535d382cb,Queens,POINT(-73.75090000 40.67220000),11413,2021-04-29T02:14:25Z,NY,,"Driving, Hardworking And Dedicated, Enforcement, Commercial Driver'S License (CDL)",OTR Driver,40.6722,-73.7509,,,,,,,
Army National Guard,US,,FULL_TIME,,02f7042c-66ee-514d-a7e6-9c640abbbbd9,Buffalo,POINT(-78.87837000 42.88645000),,2021-04-13T01:31:30Z,NY,,"Troubleshooting (Problem Solving), Alternators, Wheels, Heavy Equipment, Electrical Systems, Batteries, Valves (Piping), Brakes, Fuel Injection, Steering, Pumps, Motors, Carburetors, Brake (Sheet Metal Bending), Transmission, Hydraulics, Scheduling, Accounting Record Management System, Accounts Receivable Management Solutions, Dominance Inducement Steadiness Compliance (Personality Test), Fuel Pumps, Driving, Maintenance, Suspension (Vehicle)",91L Construction Vehicle Repairer,42.88645,-78.87837,,,,,,,
Carrier Enterprise,US,,FULL_TIME,,fdf0203b-8ccc-51c7-8844-0f020735bfb9,Colonie,POINT(-73.83346000 42.71786000),12205,2021-04-06T16:20:54Z,NY,,"HVAC, Ventilation, Clerical Works, Displaying (Exhibition), Management, Return Merchandise Authorization, Merchandising, Showrooms, Sales, Selling Techniques, Sales Order, Authorization (Medical)",Store/Counter Associate,42.71786,-73.83346,,,,,,,
Dollar Tree Stores,US,,FULL_TIME,,856fd741-a9f0-50ad-a3b4-799020ca7330,Brentwood,POINT(-73.24623000 40.78121000),,2021-05-04T06:51:51Z,NY,,"Customer Service, Merchandising, Sales, Unloading, Trustworthy, Verbal Communication, Information Security",SALES FLOOR ASSOCIATE,40.78121,-73.24623,,,,,,,
The TJX Companies Inc,US,,FULL_TIME,,7dfa7af4-359a-50b3-9d74-44023ea235cf,Queens,POINT(-73.86249000 40.72557000),,2021-04-30T07:24:05Z,NY,,"Merchandising, Loss Prevention, Sales, Retailing, Scheduling, Customer Service, Attention To Detail, Coordinating, Customer Experience, Trustworthy, Communication",Merchandise Associate,40.72557,-73.86249,,,,,,,
Army National Guard,US,,FULL_TIME,,0879be7b-4c8a-596a-bf0e-6a0e9325aa1e,Staten Island,POINT(-74.15020000 40.57953000),,2021-04-12T23:07:31Z,NY,,"Water Purification, Mechanics, Guard, Training",91J Quartermaster and Chemical Equipment Repairer,40.57953,-74.1502,,,,,,,
BlackRock,US,,FULL_TIME,,21755abb-c1bf-5a0f-971c-a676533b8e8e,New York,POINT(-73.97419000 40.75896000),10055,2021-04-20T02:47Z,NY,,"Capital Markets, Portfolio Management, Structured Product, Financial Modeling, Due Diligence, Investments, Separately Managed Accounts, Tranches, Intellectual, Communication, Management, Quantitative Analysis, Loans, Passionate, C++ (Programming Language), Investment Strategy, Java (Programming Language), Attention To Detail, Coordinating, Idea Generation, Operations, Numeracy","CLO Tranche, Investment Associate",40.75896,-73.97419,,,,,,,
Ajulia Executive Search,US,,FULL_TIME,,ae8ae50d-4298-593e-869f-820e052b96b8,New York,POINT(-74.00597000 40.71278000),,2021-04-19T00:51:33Z,NY,,"Renovation, Recruitment, Quality Management, Scheduling, Ventilation, Maintenance, Occupational Safety And Health, Training",Maintenance Supervisor,40.71278,-74.00597,,,,,,,
YUM-KFC Corporation,US,,FULL_TIME,,e8d4119b-40be-57e5-a353-09e80c82e5c3,New Rochelle,POINT(-73.78236000 40.91149000),,2021-04-19T05:10:03Z,NY,,,KFC Team Member,40.91149,-73.78236,,,,,,,
The TJX Companies Inc,US,,FULL_TIME,,d6968c49-d93e-5243-8ece-947fefa01bd4,Brooklyn,POINT(-73.94416000 40.67818000),,2021-04-30T07:17:49Z,NY,,"Merchandising, Loss Prevention, Sales, Retailing, Scheduling, Customer Service, Attention To Detail, Coordinating, Customer Experience, Trustworthy, Communication",Overnight Merchandise Associate,40.67818,-73.94416,,,,,,,
Army National Guard,US,,FULL_TIME,,3705e785-8dff-5b17-9198-55f69124db6d,Latham,POINT(-73.76054000 42.74776000),12110,2021-04-09T13:54:25Z,NY,,"Investigation, Law Enforcement, Crowd Control, Information Security",31B Military Police - Police Officer,42.74776,-73.76054,,,,,,,
Pactiv Corporation,US,,FULL_TIME,,d6b9ee07-8294-580e-abc6-551b3a0b7172,Plattsburgh,POINT(-73.45291000 44.69949000),,2021-04-05T01:55:13Z,NY,,"Finished Good, Instructions, Calculations, Drug Testing, Housekeeping, Mathematics",Sorter/Packer,44.69949,-73.45291,,,,,,,
The TJX Companies Inc,US,,FULL_TIME,,51aa2e70-09d8-5cb0-8c87-a7059c6a9529,Queens,POINT(-73.85073000 40.67941000),,2021-04-30T08:31:08Z,NY,,"Merchandising, Loss Prevention, Sales, Retailing, Scheduling, Customer Service, Attention To Detail, Coordinating, Customer Experience, Trustworthy, Communication",Merchandise Associate,40.67941,-73.85073,,,,,,,
Army National Guard,US,,FULL_TIME,,e16f1c89-27ea-59e3-940c-a75d3441b6ce,Watervliet,POINT(-73.70123000 42.73008000),,2021-04-13T01:32:53Z,NY,,"Scheduling, Medical Terminology, Filing, Medical Assistance, Anatomy, Physiology, Medical Records, Patient Administration Systems, Typing, Clerical Works, Administration, Grammars, Punctuation, Office Management",68G Patient Administration Specialist,42.73008,-73.70123,,,,,,,
The TJX Companies Inc,US,,FULL_TIME,,53b5523d-a321-50ca-b759-644246f7d1f8,Pittsford,POINT(-77.52755000 43.07899000),,2021-04-30T08:31:25Z,NY,,"Merchandising, Retailing, Loss Prevention, Sales, Scheduling, Customer Service, Attention To Detail, Coordinating, Customer Experience, Trustworthy, Communication",Merchandise Associate,43.07899,-77.52755,,,,,,,
Access Staffing LLC,US,,FULL_TIME,,c3dd1e72-1760-5bf0-b630-67dade74aa9c,Nesconset,POINT(-73.15400000 40.85204000),11767,2021-04-27T15:02:03Z,NY,,"Teeth Cleaning, Diseases And Disorders, Teaching, X-Rays",Dental Hygienist,40.85204,-73.154,,,,,,,
The TJX Companies Inc,US,,FULL_TIME,,dc943978-276c-5b6c-b17f-d8c56215d898,Buffalo,POINT(-78.87837000 42.88645000),,2021-04-30T08:33:33Z,NY,,"Merchandising, Loss Prevention, Sales, Retailing, Scheduling, Customer Service, Attention To Detail, Coordinating, Customer Experience, Trustworthy, Communication",Merchandise Associate Hamburg,42.88645,-78.87837,,,,,,,
Army National Guard,US,,FULL_TIME,,f5b7d7da-8cc0-5c95-868c-9e08a85233f9,Peekskill,POINT(-73.92042000 41.29009000),,2021-04-09T13:58:39Z,NY,,"Communication, Testing, Security Policies, Communications Systems, Preventive Maintenance, Installations (Manual/Mechanical), Installations (Computer Systems), Security Devices, Communications Security, Complex Problem Solving, Manuals, Maintenance, Electrical Wirings, Heavy Equipment",25L Cable Systems Installer/Maintainer,41.29009,-73.92042,,,,,,,
Dollar Tree Stores,US,,FULL_TIME,,0af98027-bb06-52d4-9954-0c05c50be6aa,Jamestown,POINT(-79.23533000 42.09700000),14701,2021-04-05T02:50:26Z,NY,,"Customer Service, Merchandising, Sales, Unloading, Trustworthy, Verbal Communication, Information Security",SALES FLOOR ASSOCIATE,42.097,-79.23533,,,,,,,
The TJX Companies Inc,US,,FULL_TIME,,ee14a54c-7dfb-5cbc-bccf-65c22725c936,The Bronx,POINT(-73.86483000 40.84478000),,2021-04-30T07:19:01Z,NY,,"Merchandising, Loss Prevention, Sales, Retailing, Scheduling, Customer Service, Attention To Detail, Coordinating, Customer Experience, Trustworthy, Communication",Merchandise Associate Riverdale Bronx,40.84478,-73.86483,,,,,,,
Dollar Tree Stores,US,,FULL_TIME,,beb6b810-cba0-5f14-b5cf-65876b4660d7,Lake Grove,POINT(-73.11511000 40.85287000),,2021-05-04T07:03:26Z,NY,,"Customer Service, Merchandising, Sales, Unloading, Trustworthy, Verbal Communication, Information Security",SALES FLOOR ASSOCIATE,40.85287,-73.11511,,,,,,,
Dollar Tree Stores,US,,FULL_TIME,,2e666701-5e96-5775-bcbb-98460ec67bc8,Niagara Falls,POINT(-79.03773000 43.09621000),,2021-05-04T06:49Z,NY,,"Customer Service, Merchandising, Sales, Unloading, Trustworthy, Verbal Communication, Information Security",SALES FLOOR ASSOCIATE,43.09621,-79.03773,,,,,,,
Mac Tools,US,,FULL_TIME,,a0812390-7e4f-52d2-9cbb-d0b21e7981ff,Ossining,POINT(-73.85367000 41.17951000),10562,2021-04-30T23:22:10Z,NY,,,Mac Tools Seeking Mechanics - Automotive Technicians - Full Training,41.17951,-73.85367,,,,,,,
Addus,US,,FULL_TIME,,79ac3890-d7e8-5dc5-ad99-d70c17fc0e6f,Port Washington,POINT(-73.69482000 40.84700000),11050,2021-05-01T13:10:46Z,NY,,"Home Care, Personal Care, Training, House Cleaning",Personal Care Aide (PCA),40.847,-73.69482,,,,,,,
Clinical Management Consultants,US,,FULL_TIME,,46a4e1f4-899e-5625-8177-16317810eafc,Seneca Falls,POINT(-76.79662000 42.91062000),13148,2021-04-14T02:24:48Z,NY,,,Central Sterile Processing Technician,42.91062,-76.79662,,,,,,,
Schneider,US,,FULL_TIME,,175a637e-c208-5b11-83db-2094e1e2b2ec,Attica,POINT(-78.28030000 42.86423000),14011,2021-04-23T03:53:28Z,NY,,,Class A CDL - Regional Intermodal truck driver,42.86423,-78.2803,,,,,,,
"Beacon Hill Staffing Group, LLC",US,,FULL_TIME,,71d96853-0886-5cf9-8f60-aa4d21696476,New York,POINT(-74.00597000 40.71278000),,2021-04-30T14:49:41Z,NY,,,Long-Term Temporary Executive/Personal Assistant,40.71278,-74.00597,,,,,,,
Nesco Resource,US,,FULL_TIME,,f7049934-36eb-5104-9178-c3d516bfb19e,Rochester,POINT(-77.60885000 43.15658000),,2021-04-26T13:27:45Z,NY,$0.00 - $16.50 / hour,"Scheduling, Material Handling, Human Resources, Team-working, Mechanical Aptitude, Manufacturing, Training",Material Handler - B shift,43.15658,-77.60885,,,,,,,
Nesco Resource,US,,FULL_TIME,,b68c6787-6c05-5296-a556-0be25665ca64,Fairport,POINT(-77.44194000 43.09867000),14450,2021-04-25T01:41:44Z,NY,$0.00 - $23.00 / hour,"Instructions, Learning, Fabrication, Assembling, Apache Torque, Torque (Physics), Packaging And Labeling, Software Packaging, Optics, Team-working, Coordinating, Creativity, Fine Motor Skills, Testing, Attention To Detail, Manufacturing, Calculations, Passionate, Wrench",Optical Technician,43.09867,-77.44194,,,,,,,
Nesco Resource,US,,FULL_TIME,,10676eee-5de6-575e-9b4f-9a21fe061f98,Fairport,POINT(-77.44194000 43.09867000),14450,2021-04-23T19:23:16Z,NY,$0.00 - $25.00 / hour,"Testing, Continuous Improvement Process, Maintenance, Optics, Instructions, Wave (Band), Scheduling",Optical Polisher,43.09867,-77.44194,,,,,,,
"Beacon Hill Staffing Group, LLC",US,,FULL_TIME,,9c2480a4-0591-5b7c-9ac5-3526978639f9,New York,POINT(-74.00597000 40.71278000),,2021-04-23T13:23:28Z,NY,"$100,000.00/ year",,"Investment Assistant, hedge fund - $100K",40.71278,-74.00597,,,,,,,
ACS Solutions,US,,FULL_TIME,,82ea7b33-a35c-54f6-b4f3-1560d757b95a,Oriskany,POINT(-75.33267000 43.15729000),13424,2021-04-06T09:48:05Z,NY,$13.50/ hour,"Reports, Balancing (Ledger/Billing), Filing, Distribution (Business), International Trade, Settlement",Customer Service Representative,43.15729,-75.33267,,,,,,,
Nesco Resource,US,,FULL_TIME,,fc36a5a3-bb80-5785-be5d-f7277f7c0342,Rochester,POINT(-77.60885000 43.15658000),,2021-04-13T13:24:14Z,NY,$14.00 - $16.00 / hour,"Electronic Systems, Instructions, Electronics, Study Skills, Testing, Documentation, Preventive Maintenance, Complex Problem Solving, Wiring Diagram, Maintenance, Supply Chain Management",Electronic Assembler,43.15658,-77.60885,,,,,,,
Nesco Resource,US,,FULL_TIME,,f87664a5-87be-5466-a8ed-a7c9fe16ddfc,Newburgh,POINT(-74.01041000 41.50343000),12550,2021-04-10T01:28:51Z,NY,$14.00 - $18.00 / hour,"Software Packaging, Control Panels, Emergency Handling",Machine Operator/Packer- 3rd Shift,41.50343,-74.01041,,,,,,,
Adecco USA,US,,FULL_TIME,,08ddb15d-c9bf-5a3b-a755-d5d5b58133c4,Canandaigua,POINT(-77.28170000 42.88754000),14424,2021-04-13T17:10:30Z,NY,$14.65/ hour,,2nd Shift Forklift Operator,42.88754,-77.2817,,,,,,,
ACS Solutions,US,,FULL_TIME,,db71674e-6ad7-5044-93a2-c1a080a2337b,Grand Island,POINT(-78.96573000 43.02163000),,2021-04-30T17:56:12Z,NY,$15.00 - $15.50 / hour,"Palletizing, Packaging And Labeling, Software Packaging, Machinery",warehouse Worker,43.02163,-78.96573,,,,,,,
Nesco Resource,US,,FULL_TIME,,47d4a6db-e55f-532d-99d4-4b4353ac43cc,Rochester,POINT(-77.60885000 43.15658000),,2021-04-19T19:22:50Z,NY,$15.00 - $16.00 / hour,,Warehouse,43.15658,-77.60885,,,,,,,
Adecco USA,US,,FULL_TIME,,5ab0d53d-3a8e-55a1-9108-8f00a9eb77f0,Akron,POINT(-78.49530000 43.02089000),14001,2021-04-30T09:07:51Z,NY,$15.00/ hour,,Assembly and Production,43.02089,-78.4953,,,,,,,
Nesco Resource,US,,FULL_TIME,,2802b71c-d1ba-5fc5-9b03-0fc554b8c1a1,East Rochester,POINT(-77.49027000 43.11071000),14445,2021-05-03T13:36:24Z,NY,$15.00/ hour,,Factory Production Kiln Operator,43.11071,-77.49027,,,,,,,
Nesco Resource,US,,FULL_TIME,,8268a30a-7879-5b86-86c6-bbc772e7230e,Ontario,POINT(-77.28338000 43.22094000),14519,2021-04-23T01:48:59Z,NY,$15.00/ hour,"Self Motivation, Machining, Reliability, Attention To Detail, Curiosity, Manufacturing, Team-working, Training",Assembly/Masking,43.22094,-77.28338,,,,,,,
Nesco Resource,US,,FULL_TIME,,1e0d0655-8939-54b5-920b-8426b8f7989b,Rush,POINT(-77.62982000 42.99546000),,2021-04-08T13:25:36Z,NY,$16.00 - $17.00 / hour,"Sanitation, Blueprinting, Continuous Improvement Process, Attention To Detail, Manufacturing, Complex Problem Solving, Standardization, Continuous Production, Analytical, Housekeeping, Manuals",Machine Operators - $16+/hr.,42.99546,-77.62982,,,,,,,
Robert Half,US,,FULL_TIME,,e1958f3b-5d20-54f4-a44b-7ee579cc50bf,Garden City,POINT(-73.64774000 40.72180000),11530,2021-04-16T16:31:11Z,NY,$18.00 - $25.00 / hour,"Insurance, Hospitals, Data Quality, Self Motivation, Medicaid, Attention To Detail, Medical Billing And Coding, Social Support, Verification, Medicare, Billing, Health Care",Medical Accounts Receivable Specialist,40.7218,-73.64774,,,,,,,
Manpower,US,,FULL_TIME,,ca336297-7850-5b44-9116-deeea3b3eaa1,Catskill,POINT(-73.95950000 42.21461000),,2021-04-20T15:56:54Z,NY,$18.00/ hour,"Instructions, Hardworking And Dedicated, Palletizing, Training, Human Resources",General Labor in Catskill,42.21461,-73.9595,,,,,,,
Nesco Resource,US,,FULL_TIME,,9f82ecb5-81fc-552f-883f-10f9d5e83b7a,Westgate,POINT(-77.73376000 43.12067000),14624,2021-04-12T01:36:56Z,NY,$20.00 - $25.00 / hour,"Management, Optical Comparator, Micrometer, Testing, Maintenance, Instructions, Manufacturing, Training",Tsugami Operator,43.12067,-77.73376,,,,,,,
Ace Concepts,US,,FULL_TIME,,f644190f-3fb2-5b04-8ecc-c6d06559ec63,Hempstead,POINT(-73.61874000 40.70621000),11550,2021-04-11T11:06:51Z,NY,"$30,000.00 - $35,000.00 / year","Data Analysis, Analysis, Management, Multitasking, Telephone Skills, Documentation, Customer Service, Complex Problem Solving",Customer Service Reps | Sports Mentality,40.70621,-73.61874,,,,,,,
Automation Test Company,US,,FULL_TIME,,23368722-7b93-534e-b6d2-be36b5010d51,New York,POINT(-74.00597000 40.71278000),,2021-04-29T01:12:42Z,NY,"$37,440.00 - $52,000.00 / year",,Painter,40.71278,-74.00597,,,,,,,
Robert Half,US,,FULL_TIME,,30577a14-ca21-5af6-89a3-d80a5a2214f9,Watertown,POINT(-75.91076000 43.97478000),13601,2021-04-18T16:27:05Z,NY,"$40,000.00 - $45,000.00 / year","Accounting, Accruals, General Ledger, Family And Medical Leave Act Of 1993, Finance, Social Security, Collections",Payroll Administrator,43.97478,-75.91076,,,,,,,
Robert Half,US,,FULL_TIME,,5ad86125-f9ee-54c7-ad81-884eb7f03d90,Syracuse,POINT(-76.18417000 43.05136000),13204,2021-04-29T10:45:21Z,NY,"$45,000.00 - $50,000.00 / year","Fair Labor Standards Act, Family And Medical Leave Act Of 1993, Fundamental Payroll Certification, Information Technology, Human Resources, Accounting, Finance, Social Security, Human Resources Information System (HRIS), Employee Benefits, Liens, Certified Purchasing Professional",Payroll Administrator,43.05136,-76.18417,,,,,,,
"Beacon Hill Staffing Group, LLC",US,,FULL_TIME,,b2ac85ef-da7d-588a-ba02-797da08b6275,Queens,POINT(-73.79485000 40.72823000),,2021-04-09T12:03:07Z,NY,"$50,000.00 - $65,000.00 / year",,"TTP Operations Analyst, facilities mgmt firm - up to $65K",40.72823,-73.79485,,,,,,,
Robert Half,US,,FULL_TIME,,1d6f0d28-3e73-5633-b28f-18402d4fff97,PECK SLIP,POINT(-74.00211000 40.70715000),10038,2021-04-23T16:37:27Z,NY,"$80,000.00 - $90,000.00 / year","Active Directory, Communication, Virtual Private Networks, Service Desk, Help Desk, Windows Desktop, Leadership, Networking, Operations, Complex Problem Solving, Windows Servers, Information Technology, Multitasking",Help Desk Manager,40.70715,-74.00211,,,,,,,
Robert Half,US,,FULL_TIME,,1128f4b0-e342-5c98-86bd-e35aeade3a8d,Manhasset,POINT(-73.68305000 40.79600000),11030,2021-05-02T12:39:36Z,NY,DOE,"Bank Reconciliations, Accounts Receivable, Accounts Payable, Financial Statements, Bookkeeping, Billing, Multitasking, Communication, Accounting",Bookkeeper,40.796,-73.68305,,,,,,,
Valley Bank,US,,FULL_TIME,,5c6468a2-7c64-5990-8d4f-55ca175c702b,New York,POINT(-73.99224000 40.75117000),10119,2021-04-17T00:39:47Z,NY,,"Management, Clinical Research Associate, Mentorship, Presentations, Reports, Investments, Public Relations, Banking, Administration, Auditing, Research",CSR-CRA Associate,40.75117,-73.99224,,,,,,,
Automation Test Company,US,,FULL_TIME,,f64f8c2c-db40-5c30-9fcc-173fd36c81f8,Schenectady,POINT(-73.98146000 42.81400000),12345,2021-04-09T08:38:54Z,NY,"$114,400.00 - $124,800.00 / year","Développement De Logiciels, Test (Informatique), Logiciels, Software Testing, Frameworks, Documentation (Industrie De Transformation), Engineers, Propulsion, Spécification, Manage, Automation, Application (Textile), Design, ASP.NET, Matériel Informatique",Software Engineer,42.814,-73.98146,,,,,,,
Automation Test Company,US,,FULL_TIME,,f3db40c4-6b19-57da-be28-6fcdd7d7085e,Schenectady,POINT(-73.98146000 42.81400000),12345,2021-04-08T16:06:02Z,NY,"$114,400.00 - $124,800.00 / year","Développement De Logiciels, Test (Informatique), Logiciels, Software Testing, Frameworks, Documentation (Industrie De Transformation), Engineers, Propulsion, Spécification, Manage, Automation, Application (Textile), Design, ASP.NET, Matériel Informatique",Software Engineer,42.814,-73.98146,,,,,,,
Advantage Wholesale Supply,US,,FULL_TIME,,1cb0aa19-d882-5309-bfc3-a0c7a7bb9393,Brooklyn,POINT(-73.95615000 40.66336000),11225,2021-04-12T12:00:11Z,NY,$18.00 - $25.00 / hour,"Telephone Skills, Switchboard Operator, Administration, Billing, Acting",Billing/ Administrative,40.66336,-73.95615,,,,,,,
Remedy Intelligent Staffing,US,,FULL_TIME,,2ab2821d-0ba0-5810-b059-cde6b1d6567d,Horseheads,POINT(-76.82507000 42.15105000),14845,2021-04-24T00:38:43Z,NY,,"Analysis, Communication, Corrective And Preventive Actions, Team-working",Quality Manager,42.15105,-76.82507,,,,,,,
Express Employment Professionals,US,,FULL_TIME,,1ccdabfc-1f4d-5b50-9010-c4a2436979ba,Brooklyn,POINT(-74.00719000 40.65667000),11232,2021-04-15T01:04:41Z,NY,$15.00 - $16.00 / hour,"Mopping, Sweeping",Housekeeper,40.65667,-74.00719,,,,,,,
Shearman & Sterling,US,,FULL_TIME,1 to 2 years experience.,20d888b1-d548-5b67-ba25-4f72fb44af0d,Melville,POINT(-73.42981000 40.78368000),11747,2021-04-15T17:33:16Z,NY,,"Scheduling, Forecasting, Accounting, Finance, Financial Statements, Budgeting, Billing, Revenues, Analysis Of Variance, Analysis, Management, Financial Modeling, Human Resources, Collections, General Ledger, Marketing, Administration, Research, Technology Savvy, Reports, Microsoft Excel",Junior Budget Analyst,40.78368,-73.42981,,,,,,,
Adecco Medical & Science,US,,FULL_TIME,1 to 2 years experience.,7600a176-08f8-5bc9-be2b-b3b5b43f71f0,Glenville,POINT(-74.05207000 42.92924000),12010,2021-04-30T16:55:50Z,NY,$20.00 - $22.00 / hour,"Immunization, Basic Life Support, Customer Service, Stress Management",Pharmacy Technician,42.92924,-74.05207,,,,,,,
Adecco Medical & Science,US,,FULL_TIME,1 to 2 years experience.,65e589a8-faec-5bd0-890c-e86b4e2bdb06,Depew,POINT(-78.69225000 42.90395000),,2021-04-30T16:55:56Z,NY,$20.00 - $22.00 / hour,"Immunization, Basic Life Support, Customer Service, Stress Management",Pharmacy Technician,42.90395,-78.69225,,,,,,,
Adecco Medical & Science,US,,FULL_TIME,1 to 2 years experience.,7c8ec3e4-2916-5308-b8f0-388380ebb498,Rockville Centre,POINT(-73.64124000 40.65871000),,2021-05-01T03:43:42Z,NY,$20.00 - $22.00 / hour,"Immunization, Basic Life Support, Customer Service, Stress Management",Pharmacy Technician,40.65871,-73.64124,,,,,,,
Adecco Medical & Science,US,,FULL_TIME,1 to 2 years experience.,ba4052c9-1dbf-5595-bcd6-425798726efe,Ronkonkoma,POINT(-73.12415000 40.80642000),,2021-04-30T16:55:46Z,NY,$20.00 - $22.00 / hour,"Immunization, Basic Life Support, Customer Service, Stress Management",Pharmacy Technician,40.80642,-73.12415,,,,,,,
Ecruit,US,,FULL_TIME,1 to 3 years experience.,e951cfa1-ac5c-5d68-9862-6ca0f794f835,New York,POINT(-74.00597000 40.71278000),,2021-04-08T04:45:26Z,NY,,"Electrical Engineering, Fire Alarm Systems, Scheduling, Hospitality, Engineering, Plumbing, Electricity, Retailing, Layouts, Lighting, Autodesk Revit, Construction, Engineering Design Process, Systems Engineering, Calculations, Microsoft Outlook",Electrical Engineer,40.71278,-74.00597,,,,,,,
ExecuNet,US,,FULL_TIME,3 to 15 years experience.,1894491a-ba98-52e0-9a23-af706597b53e,New York,POINT(-74.00597000 40.71278000),,2021-04-30T16:43:52Z,NY,,"Marketing Communications, Integrated Marketing Communications, Brand Management, Product Marketing, Demand Generation, Marketing, Marketing Strategies, Digital Marketing, Business-To-Consumer, Campaigns, Global Scope, Business To Business, Value Proposition, Communication, Analysis, Leadership, Mentorship, Coaching And Mentoring, Creativity, Recruitment, Sales, Booking (Sales), Content Marketing, Leverage, Financial Modeling, Data Analysis, Restaurant Operation, Budgeting, Partnerships, Driving",VP of Marketing,40.71278,-74.00597,,,,,,,
BCforward,US,,FULL_TIME,5 to 7 years experience.,7e603b72-7c2a-5b7c-8111-22aabf507497,Williamsville,POINT(-78.73781000 42.96395000),14221,2021-04-29T13:30:27Z,NY,,"Multitasking, Time Management, Interpersonal Skills, Leadership, Complex Problem Solving, Delegation Skills, Scheduling, Negotiation, Scrum (Software Development), Communication, Agile Software Development, Methodologies, Project Management, PMI Certified, Management, Friendliness, Project Management Professional, Project Management Institute, Coaching And Mentoring, Risk Management, Software Development, Quality Management",Project Manager,42.96395,-78.73781,,,,,,,
The TJX Companies Inc,US,,FULL_TIME,At least 1 year experience.,d18adff1-a3a6-5b0f-98f1-2ec3c0d6c8f0,Syracuse,POINT(-76.14742000 43.04812000),,2021-04-30T09:20:18Z,NY,,"Scheduling, Retailing, Sales, Onboarding, Customer Service, Management, Labour Laws, Administration, Attention To Detail, Coordinating, Training, Recruitment, Trustworthy, Communication, Customer Experience, Operations, Maintenance, Confidentiality",Admin Coordinator,43.04812,-76.14742,,,,,,,
Central Oregon Truck Company,US,,FULL_TIME,At least 1 year experience.,34916927-982f-52a5-8301-9497fe8dc6ff,New Rochelle,POINT(-73.78219000 40.91132000),10802,2021-05-03T21:46:57Z,NY,,"Driving, Off-The-Record Messaging, Training",Flatbed Truck Driving Job - Rider Policy Available,40.91132,-73.78219,,,,,,,
Confidential,US,,FULL_TIME,At least 1 year experience.,4dc3c202-7cf2-5e8d-bde0-d83f5f000044,Hempstead,POINT(-73.61874000 40.70621000),11550,2021-04-19T01:10:44Z,NY,"$28,080.00 - $40,000.00 / year","Zendesk, Technical Support, Television, Navigation, Inquiry, Customer Service, Complex Problem Solving, Communication, Connected Devices, Billing",Customer Service Representative,40.70621,-73.61874,,,,,,,
ExecuNet,US,,FULL_TIME,At least 10 years experience.,c6452ab6-0b0c-5b33-b389-3508d667cb7f,New York,POINT(-74.00597000 40.71278000),,2021-04-09T16:43:51Z,NY,,"Coaching And Mentoring, Finance, Customer Satisfaction, Leadership, Business To Business, Management",VP of Customer Success,40.71278,-74.00597,,,,,,,
